Date,StartTime,EndTime,TotalNapTime
09/05/2018,9:37,10:23,0:46
09/05/2018,2:26,3:15,0:49
09/06/2018,9:23,10:02,0:39
09/06/2018,1:24,2:11,0:47
09/07/2018,9:23,10:02,0:39
09/07/2018,1:24,2:11,0:47
09/07/2018,9:37,11:01,1:24
09/10/2018,9:18,10:00,0:42
09/10/2018,4:09,4:36,0:27
09/11/2018,9:08,10:03,0:55
09/11/2018,1:41,2:29,0:48
09/12/2018,9:46,10:44,0:58
09/12/2018,1:13,2:05,0:52
09/13/2018,9:27,10:13,0:46
09/13/2018,9:27,10:13,0:46
09/14/2018,10:03,10:36,0:33
09/14/2018,2:13,3:04,0:51
09/17/2018,10:00,11:01,1:1
09/17/2018,2:06,2:40,0:34
09/18/2018,9:11,9:53,0:42
09/18/2018,1:11,1:34,0:23
09/18/2018,3:44,4:31,0:47
09/19/2018,8:52,9:29,0:37
09/19/2018,3:12,3:55,0:43
09/20/2018,8:52,9:29,0:37
09/20/2018,3:12,3:55,0:43
09/20/2018,9:20,10:35,1:15
09/20/2018,2:00,2:47,0:47
09/21/2018,9:31,10:12,0:41
09/21/2018,1:25,1:50,0:25
09/24/2018,9:44,10:13,0:29
09/24/2018,2:24,2:49,0:25
09/25/2018,9:24,10:05,0:41
09/25/2018,2:11,3:52,1:41
09/26/2018,9:21,10:32,1:11
09/26/2018,1:28,1:58,0:30
09/27/2018,10:13,11:25,1:12
09/27/2018,10:13,11:25,1:12
10/01/2018,9:41,11:00,1:19
10/01/2018,2:02,2:56,0:54
10/02/2018,9:15,9:57,0:42
10/02/2018,12:36,1:40,1:4
10/03/2018,9:29,10:21,0:52
10/04/2018,9:06,9:50,0:44
10/04/2018,1:47,2:12,0:25
10/09/2018,9:46,11:26,1:40
10/09/2018,2:45,3:42,0:57
10/10/2018,7:27,8:45,1:18
10/10/2018,12:04,2:02,1:58
10/11/2018,7:27,8:45,1:18
10/11/2018,12:04,2:02,1:58
10/11/2018,9:12,10:44,1:32
10/11/2018,1:35,2:51,1:16
10/12/2018,9:16,10:50,1:34
10/12/2018,2:15,3:57,1:42
10/17/2018,9:39,10:23,0:44
10/17/2018,2:14,2:58,0:44
10/18/2018,9:21,10:36,1:15
10/18/2018,2:01,2:37,0:36
10/18/2018,9:21,10:36,1:15
10/18/2018,2:01,2:37,0:36
10/19/2018,9:26,10:40,1:14
10/19/2018,1:40,3:00,1:20
10/22/2018,9:53,10:38,0:45
10/22/2018,1:49,2:33,0:44
10/23/2018,9:00,9:47,0:47
10/23/2018,12:30,1:53,1:23
10/24/2018,9:37,10:21,0:44
10/24/2018,1:30,2:37,1:7
10/25/2018,9:27,10:45,1:18
10/26/2018,9:49,10:43,0:54
10/26/2018,2:02,3:17,1:15
10/29/2018,9:40,10:48,1:8
10/29/2018,1:51,3:09,1:18
10/30/2018,9:39,10:23,0:44
10/31/2018,9:22,10:48,1:26
10/31/2018,1:41,2:20,0:39
11/01/2018,10:01,11:26,1:25
11/02/2018,10:00,11:16,1:16
11/02/2018,2:14,3:39,1:25
11/05/2018,9:27,11:08,1:41
11/05/2018,2:00,3:18,1:18
11/06/2018,9:30,10:25,0:55
11/07/2018,10:02,11:42,1:40
11/07/2018,1:21,1:32,0:11
11/07/2018,3:32,4:05,0:33
11/08/2018,9:20,10:29,1:9
11/08/2018,1:50,2:35,0:45
11/10/2018,9:50,11:05,1:15
11/10/2018,2:29,3:01,0:32
11/12/2018,10:40,11:33,0:53
11/12/2018,2:37,3:17,0:40
11/13/2018,10:40,11:33,0:53
11/13/2018,2:37,3:17,0:40
11/13/2018,9:20,10:31,1:11
11/13/2018,1:31,2:44,1:13
11/14/2018,9:27,11:22,1:55
11/14/2018,2:31,3:21,0:50
11/15/2018,9:36,10:55,1:19
11/15/2018,2:35,3:26,0:51
11/15/2018,9:36,10:55,1:19
11/15/2018,2:35,3:26,0:51
11/16/2018,9:42,11:18,1:36
11/16/2018,1:56,3:07,1:11
11/19/2018,2:04,2:45,0:41
11/20/2018,9:39,11:16,1:37
11/20/2018,2:13,2:57,0:44
11/21/2018,9:36,11:16,1:40
11/21/2018,2:09,3:24,1:15
11/27/2018,9:38,10:37,0:59
11/27/2018,1:36,3:14,1:38
11/29/2018,2:55,3:22,0:27
11/30/2018,9:51,11:06,1:15
12/03/2018,9:24,10:39,1:15
12/03/2018,2:17,3:49,1:32
12/04/2018,9:24,10:39,1:15
12/04/2018,2:17,3:49,1:32
12/04/2018,9:40,11:06,1:26
12/04/2018,2:24,3:33,1:9
12/05/2018,9:26,11:17,1:51
12/05/2018,2:00,3:15,1:15
